Price.x,Div Y,Expiration Date,Type,Strike,Ticker,Price.y,Volatility
4731,0,2020-12-18T00:00:00Z,Call,1,RIO LN Equity,4732,0.39223605960409275
4731,11.94909882245724,2021-03-19T00:00:00Z,Call,1,RIO LN Equity,4732,0.39223605960409275
4731,0,2020-11-20T00:00:00Z,Call,1,RIO LN Equity,4732,0.39223605960409275
2093,0,2020-12-18T00:00:00Z,Call,1,AAL LN Equity,2094,0.5297841003964557
2093,4.424666946994664,2021-03-19T00:00:00Z,Call,1,AAL LN Equity,2094,0.5297841003964557
2093,0,2020-11-20T00:00:00Z,Call,1,AAL LN Equity,2094,0.5297841003964557
214.2500152587891,0,2021-03-19T00:00:00Z,Call,80,KGF LN Equity,294.2999877929688,0.5235711952499161
214.2500152587891,0,2021-02-19T00:00:00Z,Call,80,KGF LN Equity,294.2999877929688,0.5235711952499161
214.2500152587891,0,2021-01-15T00:00:00Z,Call,80,KGF LN Equity,294.2999877929688,0.5235711952499161
214.2500152587891,0,2020-12-18T00:00:00Z,Call,80,KGF LN Equity,294.2999877929688,0.5235711952499161
214.2500152587891,0,2020-11-20T00:00:00Z,Call,80,KGF LN Equity,294.2999877929688,0.5235711952499161
133.25,15.40875227286556,2021-04-16T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
133.25,0,2020-12-18T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
133.25,0,2020-11-20T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
86.25000762939453,0,2020-12-18T00:00:00Z,Call,97,MNG LN Equity,183.3500061035156,0.7183506439432322
134.25,0,2020-12-18T00:00:00Z,Call,49,MNG LN Equity,183.3500061035156,0.7183506439432322
86.25000762939453,0,2020-11-20T00:00:00Z,Call,97,MNG LN Equity,183.3500061035156,0.7183506439432322
134.25,0,2020-11-20T00:00:00Z,Call,49,MNG LN Equity,183.3500061035156,0.7183506439432322
133.25,0,2021-03-19T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
133.25,0,2021-02-19T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
133.25,0,2021-01-15T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
133.25,12.55527962974231,2021-05-21T00:00:00Z,Call,50,MNG LN Equity,183.3500061035156,0.7183506439432322
952.5,18.59120135594004,2020-12-18T00:00:00Z,Call,1,NG/ LN Equity,953.5999755859375,0.31965615012670545
952.5,5.164222598872232,2021-03-19T00:00:00Z,Call,1,NG/ LN Equity,953.5999755859375,0.31965615012670545
952.5,0,2020-11-20T00:00:00Z,Call,1,NG/ LN Equity,953.5999755859375,0.31965615012670545
4748,0,2020-12-18T00:00:00Z,Call,1,ULVR LN Equity,4749,0.27609003679326655
4748,2.28500898532231,2021-03-19T00:00:00Z,Call,1,ULVR LN Equity,4749,0.27609003679326655
4748,0,2020-11-20T00:00:00Z,Call,1,ULVR LN Equity,4749,0.27609003679326655
1423.000122070312,5.09275973510673,2021-12-17T00:00:00Z,Call,14,GSK LN Equity,1437,0.2788501791987394
1436,NA,2020-12-18T00:00:00Z,Call,1,GSK LN Equity,1437,0.2788501791987394
1436,NA,2021-03-19T00:00:00Z,Call,1,GSK LN Equity,1437,0.2788501791987394
1436,NA,2020-11-20T00:00:00Z,Call,1,GSK LN Equity,1437,0.2788501791987394
2282,0,2020-12-18T00:00:00Z,Call,1,OCDO LN Equity,2283,0.48603479848416076
2282,0,2021-03-19T00:00:00Z,Call,1,OCDO LN Equity,2283,0.48603479848416076
2282,0,2020-11-20T00:00:00Z,Call,1,OCDO LN Equity,2283,0.48603479848416076
1611,0,2020-12-18T00:00:00Z,Call,1,BRBY LN Equity,1612,0.4673539874041255
1611,0,2021-03-19T00:00:00Z,Call,1,BRBY LN Equity,1612,0.4673539874041255
1611,0,2020-11-20T00:00:00Z,Call,1,BRBY LN Equity,1612,0.4673539874041255
1372.5,0,2020-12-18T00:00:00Z,Call,1,CPG LN Equity,1373.5,0.5301371635388907
1372.5,0,2021-03-19T00:00:00Z,Call,1,CPG LN Equity,1373.5,0.5301371635388907
1372.5,0,2020-11-20T00:00:00Z,Call,1,CPG LN Equity,1373.5,0.5301371635388907
8632,0,2020-12-18T00:00:00Z,Call,1,AZN LN Equity,8633,0.30630940145622726
8632,4.85437923093565,2021-03-19T00:00:00Z,Call,1,AZN LN Equity,8633,0.30630940145622726
8632,0,2020-11-20T00:00:00Z,Call,1,AZN LN Equity,8633,0.30630940145622726
6979,0,2020-12-18T00:00:00Z,Call,1,RB/ LN Equity,6980,0.27132641789977274
6979,0,2021-03-19T00:00:00Z,Call,1,RB/ LN Equity,6980,0.27132641789977274
6979,0,2020-11-20T00:00:00Z,Call,1,RB/ LN Equity,6980,0.27132641789977274
40.25000381469727,0,2025-10-17T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
35.5,0,2022-12-16T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
30.50000190734863,0,2022-11-18T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
30.00000190734863,0,2022-10-21T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
30.00000190734863,0,2022-09-16T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
29.50000190734863,0,2022-08-19T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
29.00000190734863,0,2022-07-15T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
28.50000190734863,0,2022-06-17T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
28.00000190734863,0,2022-05-20T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
27.50000190734863,0,2022-04-14T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
27.00000190734863,0,2022-03-18T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
28.75000190734863,0,2022-02-18T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
28.25000190734863,0,2022-01-21T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
27.50000190734863,0,2021-12-17T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
29.50000190734863,0,2021-11-19T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
30.00000190734863,0,2021-10-15T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
41.25000381469727,0,2021-10-15T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
55.75000381469727,0,2021-10-15T00:00:00Z,Call,40,RR/ LN Equity,93.69999694824219,1.0113190412268376
29.25000190734863,0,2021-09-17T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
40.50000381469727,0,2021-09-17T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
55.50000381469727,0,2021-09-17T00:00:00Z,Call,40,RR/ LN Equity,93.69999694824219,1.0113190412268376
24.75000190734863,0,2021-08-20T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
37.5,0,2021-08-20T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
54.25000381469727,0,2021-08-20T00:00:00Z,Call,40,RR/ LN Equity,93.69999694824219,1.0113190412268376
26.75000190734863,0,2021-07-16T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
39,0,2021-07-16T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
55.00000381469727,0,2021-07-16T00:00:00Z,Call,40,RR/ LN Equity,93.69999694824219,1.0113190412268376
25.75000190734863,0,2021-06-18T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
38.25,0,2021-06-18T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
54.75000381469727,0,2021-06-18T00:00:00Z,Call,40,RR/ LN Equity,93.69999694824219,1.0113190412268376
30.50000190734863,0,2021-05-21T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
42.00000381469727,0,2021-05-21T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
56.50000381469727,0,2021-05-21T00:00:00Z,Call,40,RR/ LN Equity,93.69999694824219,1.0113190412268376
29.00000190734863,0,2021-04-16T00:00:00Z,Call,80,RR/ LN Equity,93.69999694824219,1.0113190412268376
40.50000381469727,0,2021-04-16T00:00:00Z,Call,60,RR/ LN Equity,93.69999694824219,1.0113190412268376
